date_time,series,value
2023-06-13 12:35:39,spec18,1019
2023-06-13 12:35:39,spec19,1020
2023-06-13 12:35:39,spec20,1020
2023-06-13 12:35:39,spec21,1019
2023-06-13 12:35:39,spec22,1017
2023-06-13 12:35:39,spec23,1014
2023-06-13 12:35:39,spec24,1009
2023-06-13 12:35:39,spec25,1003
2023-06-13 12:35:39,spec17,1017
2023-06-13 12:35:39,spec9,996
2023-06-13 12:35:39,spec1,1001
2023-06-13 12:35:39,spec2,999
2023-06-13 12:35:39,spec3,997
2023-06-13 12:35:39,spec4,996
2023-06-13 12:35:39,spec5,995
2023-06-13 12:35:39,spec6,995
2023-06-13 12:35:39,spec7,995
2023-06-13 12:35:39,spec8,995
2023-06-13 12:35:39,spec10,997
2023-06-13 12:35:39,spec11,999
2023-06-13 12:35:39,spec12,1001
2023-06-13 12:35:39,spec13,1004
2023-06-13 12:35:39,spec14,1007
2023-06-13 12:35:39,spec15,1010
2023-06-13 12:35:39,spec16,1014
2023-06-13 12:37:30,spec16,1013
2023-06-13 12:37:30,spec1,999
2023-06-13 12:37:30,spec2,997
2023-06-13 12:37:30,spec3,995
2023-06-13 12:37:30,spec4,995
2023-06-13 12:37:30,spec5,995
2023-06-13 12:37:30,spec6,995
2023-06-13 12:37:30,spec7,995
2023-06-13 12:37:30,spec8,996
2023-06-13 12:37:30,spec9,998
2023-06-13 12:37:30,spec10,998
2023-06-13 12:37:30,spec11,999
2023-06-13 12:37:30,spec12,1001
2023-06-13 12:37:30,spec13,1003
2023-06-13 12:37:30,spec14,1007
2023-06-13 12:37:30,spec15,1010
2023-06-13 12:37:30,spec17,1016
2023-06-13 12:37:30,spec18,1018
2023-06-13 12:37:30,spec19,1021
2023-06-13 12:37:30,spec20,1022
2023-06-13 12:37:30,spec21,1021
2023-06-13 12:37:30,spec22,1017
2023-06-13 12:37:30,spec23,1012
2023-06-13 12:37:30,spec24,1006
2023-06-13 12:37:30,spec25,1001
2023-06-13 12:39:22,spec9,995
2023-06-13 12:39:22,spec17,1016
2023-06-13 12:39:22,spec16,1012
2023-06-13 12:39:22,spec15,1009
2023-06-13 12:39:22,spec14,1006
2023-06-13 12:39:22,spec13,1003
2023-06-13 12:39:22,spec12,1000
2023-06-13 12:39:22,spec11,998
2023-06-13 12:39:22,spec10,996
2023-06-13 12:39:22,spec18,1018
2023-06-13 12:39:22,spec8,995
2023-06-13 12:39:22,spec7,995
2023-06-13 12:39:22,spec6,995
2023-06-13 12:39:22,spec5,994
2023-06-13 12:39:22,spec4,994
2023-06-13 12:39:22,spec3,995
2023-06-13 12:39:22,spec2,996
2023-06-13 12:39:22,spec1,997
2023-06-13 12:39:22,spec25,1001
2023-06-13 12:39:22,spec24,1008
2023-06-13 12:39:22,spec23,1014
2023-06-13 12:39:22,spec22,1018
2023-06-13 12:39:22,spec21,1020
2023-06-13 12:39:22,spec20,1020
2023-06-13 12:39:22,spec19,1019
2023-06-13 12:41:14,spec16,1012
2023-06-13 12:41:14,spec25,1000
2023-06-13 12:41:14,spec24,1006
2023-06-13 12:41:14,spec23,1012
2023-06-13 12:41:14,spec22,1015
2023-06-13 12:41:14,spec21,1017
2023-06-13 12:41:14,spec20,1018
2023-06-13 12:41:14,spec19,1018
2023-06-13 12:41:14,spec18,1018
2023-06-13 12:41:14,spec17,1016
2023-06-13 12:41:14,spec15,1009
2023-06-13 12:41:14,spec14,1006
2023-06-13 12:41:14,spec13,1002
2023-06-13 12:41:14,spec12,998
2023-06-13 12:41:14,spec11,995
2023-06-13 12:41:14,spec10,995
2023-06-13 12:41:14,spec9,996
2023-06-13 12:41:14,spec8,995
2023-06-13 12:41:14,spec7,994
2023-06-13 12:41:14,spec6,993
2023-06-13 12:41:14,spec5,993
2023-06-13 12:41:14,spec4,994
2023-06-13 12:41:14,spec3,995
2023-06-13 12:41:14,spec2,996
2023-06-13 12:41:14,spec1,997
2023-06-13 12:43:05,spec18,1017
2023-06-13 12:43:05,spec19,1019
2023-06-13 12:43:05,spec20,1019
2023-06-13 12:43:05,spec21,1018
2023-06-13 12:43:05,spec22,1015
2023-06-13 12:43:05,spec23,1011
2023-06-13 12:43:05,spec24,1005
2023-06-13 12:43:05,spec25,999
2023-06-13 12:43:05,spec17,1014
2023-06-13 12:43:05,spec9,993
2023-06-13 12:43:05,spec1,996
2023-06-13 12:43:05,spec2,995
2023-06-13 12:43:05,spec3,994
2023-06-13 12:43:05,spec4,993
2023-06-13 12:43:05,spec5,992
2023-06-13 12:43:05,spec6,991
2023-06-13 12:43:05,spec7,991
2023-06-13 12:43:05,spec8,992
2023-06-13 12:43:05,spec10,994
2023-06-13 12:43:05,spec11,996
2023-06-13 12:43:05,spec12,998
2023-06-13 12:43:05,spec13,1001
